id,state,healthcare,occupation1,occupation1_corr,occupation2,occupation2_corr,occupation3,occupation3_corr,occupation4,occupation4_corr,
1,Alabama,17.4,24.1,0.574,71,0.549,15.6,0.670,22.2,0.626,
2,Alaska,11.9,21,,65.7,,9.7,,16,,
4,Arizona,15.5,25.8,,69.4,,13.2,,24.7,,
5,Arkansas,18.2,23.5,,67.1,,14.4,,25.1,,
6,California,13.5,23.4,,69.5,,15.3,,20.4,,
8,Colorado,13.1,23.2,,68.9,,11.1,,15.9,,
9,Connecticut,11.3,22.9,,69.2,,15,,18.5,,
10,Delaware,10.8,23.7,,66,,14.2,,23.5,,
11,District of Columbia,10.5,17.7,,68.5,,13.2,,10.5,,
12,Florida,17.6,26.7,,70.1,,13.7,,24.6,,
13,Georgia,19,24.7,,69.7,,16.8,,21,,
15,Hawaii,8.7,24.9,,74,,15.4,,26,,
16,Idaho,15.8,23.5,,69,,10,,21.3,,
17,Illinois,12.4,24.3,,68.8,,13.6,,16.4,,
18,Indiana,15.1,22.9,,67.5,,13.3,,20.8,,
19,Iowa,8.8,23.2,,65.6,,11.8,,17.6,,
20,Kansas,12.5,22.6,,66.7,,11,,18.4,,
21,Kentucky,15.9,23.2,,68.1,,14.2,,20,,
22,Louisiana,17.5,23.7,,72,,13.4,,21.3,,
23,Maine,10.9,23.7,,65.3,,10.4,,17.7,,
24,Maryland,10.1,21.8,,67.9,,13.9,,15.8,,
25,Massachusetts,8.3,21.8,,67.2,,11.5,,13.9,,
26,Michigan,14.6,23,,70.3,,12.5,,20.2,,
27,Minnesota,9.2,22.5,,65.8,,12,,13.9,,
28,Mississippi,19.4,23.7,,73.2,,17.7,,26.7,,
29,Missouri,13.7,24.8,,69,,13.5,,18,,
30,Montana,11.9,22.3,,66.1,,13.3,,18.5,,
31,Nebraska,11.8,23.4,,67.2,,13.6,,18.9,,
32,Nevada,17.3,26.8,,74.9,,15.1,,27,,
33,New Hampshire,11.1,24.4,,67.9,,12.5,,14.9,,
34,New Jersey,14,24.2,,67.8,,13.2,,16.6,,
35,New Mexico,17.2,23.1,,69.9,,15.9,,18.8,,
36,New York,14,23.2,,70.2,,12.4,,17.3,,
37,North Carolina,16.2,23.6,,69,,16.1,,21.8,,
38,North Dakota,7,21.6,,68.5,,9.1,,15.6,,
39,Ohio,13.1,23.6,,68.5,,12.3,,18,,
40,Oklahoma,15,23.8,,69.8,,15.6,,20.8,,
41,Oregon,14.4,22.9,,66.2,,11.5,,17.8,,
42,Pennsylvania,11.8,23.6,,66.8,,11.8,,17.6,,
44,Rhode Island,11.9,23.8,,68.8,,10.5,,18.8,,
45,South Carolina,18.1,24.8,,73.4,,15.3,,24.1,,
46,South Dakota,10,23.8,,67.5,,11.8,,22.1,,
47,Tennessee,15.5,24.6,,69.8,,15.1,,23.2,,
48,Texas,17.6,24,,70,,14.9,,20.6,,
49,Utah,14.3,26.2,,68.4,,14.6,,13.1,,
50,Vermont,9.1,21.4,,71.6,,8.9,,20.2,,
51,Virginia,13.1,22.1,,69.9,,15.7,,15.3,,
53,Washington,12.3,21.9,,63.9,,11,,14.9,,
54,West Virginia,16.5,23.8,,69.8,,14.4,,20.2,,
55,Wisconsin,10.6,22.3,,65.4,,10.6,,16.9,,
56,Wyoming,11.8,20.8,,69.3,,12.1,,22.2,,
72,Puerto Rico,22.1,28.8,,76.7,,19.9,,40.3,,